objid,name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g,distance
1237662336253689994,SDSS J154640.62+334644.47,236.6693,33.77902,18.8,0.02,DA,18614,171,8.055,0.00428711249821777
1237662683069677598,SDSS J135709.49+334802.92,209.2895,33.80081,16.07,0.02,DA,15405,36,8.091,0.0190456494120802
1237664853644214321,SDSS J142240.81+334807.95,215.67,33.80221,18.25,0.01,DB,21384,1000,7.947,0.000756994281455166
1237655504572448988,SDSS J171315.14+335115.44,258.3131,33.85429,18.96,0.02,DA,11356,274,9.63,0.00119084321401132
1237662503220477997,SDSS J155920.77+335511.57,239.8365,33.91988,18.04,0.02,DA,80218,3123,7.883,0.000731243651919398
1237662194541395981,SDSS J150918.45+340044.60,227.3269,34.01239,17.48,0.02,DA,20915,113,7.941,0.00397902373876716
1237674290218598480,SDSS J075129.40+340128.34,117.8725,34.02454,18.01,0.01,DA,24840,138,8.089,0.000972785738643403
1237664871898480779,SDSS J093958.64+340152.44,144.9943,34.03123,18.91,0.01,DC:,10296,2000,6.5,0.000682953864503519
1237665584872751605,SDSS J173533.37+340526.75,263.889,34.09076,19,0.01,DC:,10000,300,6.5,0.0209204413282606
1237671936581566577,SDSS J171922.43+340651.88,259.8434,34.11441,17.73,0.02,DA,17419,80,7.995,0.00376441409445228
1237662195615662227,SDSS J151628.37+340657.56,229.1182,34.11599,17,0.01,He-sdO,50000,50,7,0.000931230154946367
1237662337864695853,SDSS J155316.76+341120.62,238.3198,34.18906,17.31,0.02,DA,16473,14,8.079,0.00424125642911653
1237665127470989368,SDSS J122852.38+341213.64,187.2182,34.20379,18.26,0.03,DA,21813,171,7.552,0.00113154201726048
1237662504294416488,SDSS J160325.52+341237.44,240.8563,34.2104,16.89,0.02,He-sdO,92989,4804,6.24,0.000823369239567423
1237661387081842796,SDSS J163557.65+341427.06,248.9902,34.24085,16.92,0.02,sdB,31092,115,5.59,0.00148245949426492
1237655129307414639,SDSS J170356.68+341504.97,255.9862,34.25138,16.54,0.01,sdB,28588,146,5,0.00230184470136107
1237665025985478678,SDSS J133410.61+341825.52,203.5442,34.30709,18.15,0.01,DA,21814,168,8.04,0.00160917647406199
1237661386544775329,SDSS J163322.86+341835.46,248.3452,34.30985,18.52,0.02,DB,18357,140,7.769,0.0044169908379828
1237662223541796929,SDSS J142552.50+341928.52,216.4688,34.32459,18.4,0.02,DA,20726,178,7.539,0.00201666491835597
1237665582187872394,SDSS J172355.83+342220.89,260.9826,34.37247,17.05,0.02,sdB,31054,153,5.63,0.000805123559039718
1237665129610739781,SDSS J110245.13+342428.62,165.688,34.40795,17.76,0.03,DA,6000,39,5,0.00625204366763307
1237661850411466793,SDSS J152208.02+342502.86,230.5334,34.41746,18.31,0.02,He-sdB,45818,42,7,0.0016724670694734
1237662683606024262,SDSS J135228.45+342906.04,208.1185,34.48501,17.2,0.02,DB,11605,46,8,0.00896729329758457
1237674368066322591,SDSS J074806.15+342927.71,117.0256,34.49103,17.11,0.02,sdO,34549,149,5.592,0.000650331609322366
1237661873493835786,SDSS J153133.11+343327.47,232.888,34.55763,15.88,0.02,DO,70000,7500,8,0.00232435900994448
1237662503220019213,SDSS J155511.87+343350.58,238.7995,34.56405,17.65,0.02,DBA,16639,164,7.969,0.0130594111053844
1237661873493704798,SDSS J153021.99+343423.63,232.5916,34.57323,17.44,0.02,DAB:,11803,55,7,0.000813790389801805
1237662474766319775,SDSS J160231.31+343619.51,240.6305,34.60542,18.17,0.02,DA,20630,147,8.11,0.00199131540572803
1237662504294154266,SDSS J160058.02+343726.00,240.2417,34.62389,16.36,0.02,DAB:,30018,125,5.59,0.00129786742349083
1237665025437597776,SDSS J113149.29+344100.85,172.9554,34.68357,15.87,0.02,DAB,23453,131,5,0.00179406503925323
1237662683605762085,SDSS J134914.30+344241.72,207.3096,34.71159,18.23,0.02,DA,18179,121,7.897,0.00295808516836118
1237661387081580667,SDSS J163419.37+344244.82,248.5807,34.71245,16.85,0.02,He-sdB,41000,5000,6.28,0.00109845102001661
1237661852022669367,SDSS J153049.64+344434.74,232.7068,34.74298,18.11,0.01,DABH,37472,3000,8.523,0.00834183617016385
1237662225153327242,SDSS J143740.21+344713.09,219.4175,34.78697,18.73,0.02,DA,19161,165,7.918,0.00381593766168057
1237661381699239980,SDSS J095052.68+344815.77,147.7195,34.80438,18.53,0.02,DA,20300,208,7.882,0.00138535544961647
1237655504034988262,SDSS J170756.65+344901.67,256.9861,34.81713,16.6,0.02,sdB,24502,191,5,0.000802679346481802
1237674367531024457,SDSS J080524.18+345359.06,121.3508,34.89974,18.46,0.01,DA,19143,160,7.905,0.000898344148069607
1237662661596414001,SDSS J142204.29+345457.49,215.5179,34.91597,16.76,0.03,DBA,12069,33,8,0.00584500627374913
1237665129076621366,SDSS J113304.32+345633.79,173.268,34.94272,18.54,0.02,DA,18204,135,8.106,0.00270110258345234
1237662685755342896,SDSS J141415.06+345654.02,213.5627,34.94834,17,0.02,DA,16870,10,8.019,0.00412410075462933
1237659326031921236,SDSS J164706.94+345655.82,251.7789,34.94884,18.43,0.01,DAO/sdO,42389,891,5.94,0.00167597529594773
1237659163352301615,SDSS J163654.12+345801.20,249.2255,34.967,16.76,0.02,DBAZ,14557,58,8.525,0.0119474371228682
1237674290756256128,SDSS J075931.48+345850.45,119.8812,34.98068,18.96,0.02,DAH,18341,227,7.51,0.00102345784831565
1237665582724546771,SDSS J172520.20+345910.86,261.3342,34.98635,18.69,0.01,DB,15181,101,8.14,0.000931323609426016
1237664818206801983,SDSS J105427.19+350004.50,163.6133,35.00125,18.33,0.02,DA,68712,1591,7.883,0.000924718121440068
1237665025439170624,SDSS J114850.90+350425.02,177.2121,35.07362,17.35,0,DB,15362,50,8.137,0.00854121115071663
1237662474228924525,SDSS J155642.04+350507.08,239.1752,35.0853,15.85,0.02,DA,25102,90,8.019,0.00301421841786875
1237664818206867508,SDSS J105500.28+350625.20,163.7512,35.107,16.85,0.02,DA,14444,90,8.515,0.00852865522643087
1237661382772523028,SDSS J094413.69+350726.51,146.057,35.12403,18.28,0.02,DA,19561,129,7.984,0.00411976430920876
1237668354039611403,SDSS J173053.87+350830.41,262.7245,35.14178,17.79,0.01,DA,74854,2550,7.528,0.0012668554605217
1237665129076949140,SDSS J113659.79+350911.77,174.2491,35.15327,17.36,0.03,sdB,34592,237,5.71,0.00160615840289431
1237664853104394318,SDSS J135043.88+350924.59,207.6828,35.15683,17.13,0.02,sdB,21752,150,5,0.000299988785536575
1237660343395811365,SDSS J090320.16+351249.72,135.834,35.21381,17.58,0.02,DA,39469,255,7.957,0.00394589348127566
1237661851485077549,SDSS J152250.06+351425.73,230.7086,35.24048,18.42,0.01,DAB,30162,289,5.52,0.0005874822135251
1237659325494722586,SDSS J164236.25+351432.14,250.651,35.24226,18,0.02,DAB,32453,230,5.83,0.00199101768323087
1237661138493440096,SDSS J093843.88+351547.92,144.6828,35.26331,18.2,0.02,DA,21419,130,7.954,0.00167214804654792
1237655472360194159,SDSS J164846.95+352042.94,252.1956,35.34526,16.22,0.01,sdB,29911,160,5.52,0.00194981816808072
