#name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g
SDSS J220119.88+002408.93,330.33283,0.40248,18.54, 0.01,DA, 50488,  817, 8.155
SDSS J212623.33+002639.05,321.59721,0.44418,16.52, 0.01,DA, 19312,   56, 8.144
SDSS J103512.78+002728.98,158.80325,0.45805,15.96, 0.02,sdB, 23785,  101, 5.000
SDSS J134156.02+002749.24,205.48342,0.46368,18.88, 0.01,DB+M, 28717, 1000, 7.804
SDSS J212749.34+002924.14,321.95558,0.49004,17.65, 0.01,DAO/sdO, 77301, 3794, 5.890
SDSS J100645.73+003204.60,151.69054,0.53461,16.53, 0.01,DA, 26950,   87, 7.290
SDSS J152708.31+003308.24,231.78463,0.55229,18.58, 0.01,He-sdB, 45818,   42, 7.000
SDSS J131858.89+003530.37,199.74537,0.59177,18.16, 0.01,DAB, 24395,  307, 5.000
SDSS J215648.71+003620.70,329.20296,0.60575,17.68, 0.01,A/DAZ, 31467,  150, 5.566
SDSS J010129.53+003717.00,15.37304,0.62139,18.86, 0.03,DA, 19432,  180, 8.081
SDSS J084906.20+003722.73,132.27583,0.62298,18, 0.01,DAH, 30361,  110,10
SDSS J212014.33+003756.24,320.05971,0.63229,16.74, 0.03,sdB, 31455,   94, 5.542
SDSS J093512.70+003857.12,143.80292,0.6492,18.3, 0.02,DB, 12678,   65, 8.000
SDSS J154720.19+004046.31,236.83413,0.67953,17.32, 0.01,DAB, 22857,  166, 5.000
SDSS J133154.14+004119.57,202.97558,0.68877,17.74, 0.01,DA, 37891,  313, 7.980
SDSS J222425.54+004147.18,336.10642,0.69644,18.45, 0.02,DA, 17043,   58, 7.941
SDSS J225215.93+004155.93,343.06637,0.69887,16.5, 0.02,DAO, 34951,  145, 5.560
SDSS J005107.03+004232.44,12.77929,0.70901,15.58, 0.02,sdO, 34879, 1569, 5.550
SDSS J153722.26+004234.52,234.34275,0.70959,18.66, 0.01,DA, 20858,  178, 8.004
SDSS J101218.95+004413.34,153.07896,0.73704,17.63, 0.02,DAO, 35468,  424, 5.420
SDSS J002049.55+004433.94,5.20646,0.74276,16.73, 0.02,DA,  8812,   13, 8.657
SDSS J211607.27+004503.17,319.03029,0.75088,18.72, 0.05,DA, 91971, 4196, 7.340
SDSS J230245.07+004506.08,345.68779,0.75169,18.02, 0.02,sdB, 30000, 5000, 5.000
SDSS J161044.47+004650.51,242.68529,0.7807,18.09, 0.01,DB, 10873,  102, 8.000
SDSS J154633.46+004655.56,236.63942,0.7821,16.49, 0.01,DA, 19402,   54, 7.588
SDSS J004233.44+004717.52,10.63933,0.7882,17.15, 0.02,A/DAZ, 31480,  137, 5.107
SDSS J094044.08+004759.64,145.18367,0.7999,18.98, 0.01,He-sdB, 52336, 1793, 6.260
SDSS J003902.55+004821.41,9.76062,0.80595,18.79, 0.01,DC:, 10091,  462, 7.452
SDSS J214612.17+005110.01,326.55071,0.85278,17.52, 0.02,He-sdO, 50000,   50, 7.000
SDSS J214307.37+005123.65,325.78071,0.85657,18.78, 0.03,He-sdB, 37781,  680, 5.020
SDSS J222238.69+005124.98,335.66121,0.85694,16.11, 0.02,DAO, 39161,  304, 5.000
SDSS J151231.29+005317.74,228.13037,0.88826,18, 0.01,He-sdB, 36077,  413, 5.660
SDSS J213225.88+005428.91,323.10783,0.90803,18.17, 0.18,DA, 19664,  150, 7.928
SDSS J211921.36+005749.75,319.839,0.96382,15.55, 0.01,He-sdO, 48462,   47, 7.000
SDSS J154441.05+005803.29,236.17104,0.96758,18.8, 0.02,DA, 21718,  193, 8.029
SDSS J110256.32+010012.42,165.73467,1.00345,18.29, 0.02,DAB, 22631,  285, 5.010
